author,book_id
Suzanne Collins,"[2767052, 6148028, 7260188, 7938275, 262430, 385706, 385742, 319644]"
J.K. Rowling,"[3, 5, 2, 15881, 6, 136251, 1, 16160797, 29056083, 13497818, 3950967, 862041, 41899, 18214414, 25735012, 111450, 30065028]"
Mary GrandPré,"[3, 5, 2, 15881, 6, 136251, 1]"
Stephenie Meyer,"[41865, 49041, 428263, 1162543, 1656001, 7937462, 7619292, 3609763, 31176886]"
Harper Lee,"[2657, 24817626]"
F. Scott Fitzgerald,"[4671, 46164, 46165, 747746, 4662]"
John Green,"[11870085, 99561, 6442769, 49750, 6567017, 3213286]"
J.R.R. Tolkien,"[5907, 34, 15241, 18512, 33, 659469, 7332, 30, 597790]"
J.D. Salinger,"[5107, 5113, 4009, 5114]"
Dan Brown,"[960, 968, 976, 11125, 6411961, 17212231]"
Jane Austen,"[1885, 14935, 6969, 2156, 50398, 45032, 5899779, 14905, 91582]"
Khaled Hosseini,"[77203, 128029, 16115612, 6452760]"
Veronica Roth,"[13335037, 11735983, 18710190, 18126198]"
George Orwell,"[5470, 7613, 5472, 393199, 9646, 9648]"
Erich Fromm,"[5470, 14142]"
Celâl Üster,[5470]
Anne Frank,[48855]
Eleanor Roosevelt,[48855]
B.M. Mooyaart-Doubleday,[48855]
Stieg Larsson,"[2429135, 5060378, 6892870, 25074850, 7822895]"
Reg Keeland,"[2429135, 5060378, 6892870, 7822895]"
Rufus Beck,[5]
Alice Sebold,"[12232938, 82970, 783291]"
William Golding,[7624]
William Shakespeare,"[18135, 1420, 8852, 1622, 12996, 12957, 12938, 13006, 47021, 12985, 24128, 1625, 42038, 42607, 569564, 37526, 104837, 44133, 72978, 13020, 91571]"
Robert           Jackson,[18135]
Gillian Flynn,"[8442457, 5886881, 66559, 26025580]"
Kathryn Stockett,[4667024]
John Steinbeck,"[890, 4395, 4406, 5308, 4799, 5306, 163977, 4796, 12722]"
Arthur Golden,[930]
E.L. James,"[10818853, 13536860, 11857408, 25644601]"
Paulo Coelho,"[865, 1431, 1430, 1427, 816720, 4008, 4004, 4005, 20819682, 5356711, 1426, 16054811, 4006, 587666]"
Alan R. Clarke,"[865, 4004, 4006]"
Lois Lowry,"[3636, 47281, 12936, 12930, 13324841]"
C.S. Lewis,"[100915, 11127, 140225, 65605, 121749, 11149, 11138, 84119, 65641, 84369, 17267, 25350, 49221, 30633, 17343, 121732, 26435, 100924, 100933, 79428, 30636, 121715]"
Audrey Niffenegger,"[14050, 6202342]"
George R.R. Martin,"[13496, 10572, 62291, 13497, 10664113, 147915, 768889, 12177850, 18635622, 13337715, 13337716, 382450, 17345242]"
Elizabeth Gilbert,"[19501, 17465453, 24453082, 6728738]"
Rick Riordan,"[28187, 28186, 2120932, 7736182, 4502507, 561456, 9520360, 7090447, 12127750, 12127810, 9067850, 18705209, 12893742, 15724396, 2921082, 26252859, 20829994, 27904311]"
Louisa May Alcott,"[1934, 78950, 14570, 372319, 17533]"
Charlotte Brontë,"[10210, 31173, 31175]"
Michael Mason,[10210]
Nicholas Sparks,"[15931, 3473, 5526, 6400090, 3063499, 7812659, 3478, 3462, 15925, 15926, 3463, 3466, 531350, 10766509, 17407748, 3464, 15924, 24820165, 3465, 30002998]"
Sara Gruen,"[43641, 23209927, 2458340]"
Markus Zusak,"[19063, 19057]"
Shel Silverstein,"[30119, 370493, 30118]"
Cassandra Clare,"[256683, 3777732, 1582996, 7171637, 6752378, 8755776, 10025305, 18335634, 25494343, 20578940, 16303287]"
Christopher Paolini,"[113436, 45978, 2248573, 7664041]"
Douglas Adams,"[11, 13, 8695, 8694, 8698, 365, 360, 357, 359]"
Aldous Huxley,"[5129, 5479, 5128, 5130, 5481]"
Sue Monk Kidd,"[37435, 18079776, 6976]"
Mark Twain,"[2956, 24583, 62446, 162898, 24580, 682793]"
John Seelye,"[2956, 24583, 40395]"
Guy Cardwell,"[2956, 24583]"
E.B. White,"[24178, 138959, 33514, 24335]"
Garth Williams,"[24178, 77767, 8337, 138959, 8253, 24384, 77770, 8296]"
Rosemary Wells,[24178]
Mark Haddon,"[1618, 4701, 12878667]"
Philip Pullman,"[119322, 119324, 18122, 18116, 13554713, 114982, 531197]"
Emily Brontë,[6185]
Richard J. Dunn,[6185]
Jodi Picoult,"[10917, 14866, 10916, 14864, 15753740, 10909, 18816603, 3720975, 1609451, 14865, 28587957, 8554005, 10915, 111180, 13547188, 10912, 10910, 10908, 10911, 12283261]"
Kurt Vonnegut Jr.,"[4981, 135479, 4980, 4982, 9592, 9590, 4985, 9597, 4979, 9595, 9594, 9601, 9598, 4987, 5048174]"
Margaret Mitchell,[18405]
Stephen Chbosky,[22628]
Orson Scott Card,"[375802, 7967, 9532, 8648, 31360, 9534, 8647, 3220405, 40290, 8100267, 7968, 31357, 40271, 92956]"
Mary Wollstonecraft Shelley,[18490]
Percy Bysshe Shelley,[18490]
Maurice Hindle,[18490]
Stephen King,"[11588, 149267, 43615, 10614, 10644930, 10583, 11590, 6320534, 11566, 10567, 5094, 18775247, 11573, 233667, 10569, 10589, 10605, 34084, 39662, 16130549, 10628, 32692, 4978, 10584, 5091, 11597, 17660, 13596166, 133266, 59219, 10611, 9014, 813214, 20926278, 472343, 10619, 22453035, 11602, 7912007, 10579, 11607, 10588, 10566, 22076, 10596, 12341557, 25526965, 10607, 2906039, 550844, 25103, 23512999, 349473, 102733, 11574, 66370, 10574, 10577, 11563, 39664]"
Helen Fielding,"[227443, 363752, 17262155, 4530]"
Tony Tanner,"[14935, 45032]"
Ros Ballaster,[14935]
Louis Sachar,"[38709, 15779, 10065, 236056, 38703]"
Lauren Weisberger,"[5139, 426775, 29547, 7569223, 16130307]"
Homer,"[1381, 1371, 1375]"
Robert Fagles,"[1381, 1371, 1375, 1519]"
E.V. Rieu,[1381]
Frédéric Mugler,"[1381, 1371]"
Bernard Knox,"[1381, 1371, 1375]"
Antoine de Saint-Exupéry,[157993]
Richard Howard,"[157993, 203220, 14680]"
