count,goodreads_book_id,tag_id
37174,1,11305
34173,1,11557
12986,1,8717
12716,1,33114
9954,1,11743
7169,1,14017
6221,1,5207
4974,1,22743
3857,1,27199
3456,1,11590
3374,1,18886
3516,2,8717
3441,2,11305
3423,2,11557
1591,2,6857
1098,2,6888
981,2,2104
975,2,9221
972,2,11743
865,2,33114
851,2,3389
812,2,5207
764,2,22034
756,2,17124
744,2,22743
739,2,11370
734,2,14017
706,2,11497
688,2,22973
621,2,20849
617,2,33009
613,2,29452
566,2,32623
562,2,31617
525,2,5751
519,2,16427
492,2,24964
48220,3,11557
47478,3,11305
44640,3,8717
14984,3,33114
13239,3,11743
8559,3,14017
40087,5,11557
39330,5,11305
17944,5,8717
12856,5,33114
10656,5,11743
7607,5,14017
6640,5,5207
5164,5,22743
4267,5,11590
4199,5,27199
3618,5,18886
2960,5,6953
1982,5,1691
1972,5,22753
1966,5,6857
1363,5,15965
1338,5,6888
1311,5,6828
1177,5,2104
1143,5,26785
1099,5,19974
1090,5,7457
1085,5,25765
1020,5,20774
988,5,9221
966,5,3389
961,5,6895
936,5,11505
932,5,1128
885,5,17124
845,5,22034
831,5,11497
818,5,3392
38378,6,11305
12979,6,33114
10249,6,11743
7472,6,14017
4977,6,22743
4007,6,27199
3597,6,11590
2656,6,6953
1904,6,22753
1892,6,1691
1716,6,6857
1343,6,15965
1227,6,6888
1130,6,26785
1090,6,2104
1032,6,7457
1010,6,20774
987,6,25765
984,6,9221
910,6,3389
879,6,6895
869,6,1128
868,6,19974
837,6,17124
827,6,11505
826,6,22034
785,6,3392
144,8,11557
104,8,11305
71,8,8717
54,8,14017
34,8,33114
25,8,11743
330,10,11557
253,10,11305
127,10,8717
84,10,11743
79,10,14017
78,10,33114
11955,11,8717
10977,11,26837
10173,11,11557
9773,11,26771
7012,11,11743
4397,11,15048
3428,11,11305
2829,11,7457
1813,11,26894
1555,11,22743
1439,11,7725
1439,11,15067
1201,11,5207
1193,11,26785
983,11,27199
951,11,11590
833,11,12680
656,11,1691
8571,13,8717
3245,13,11557
2614,13,26837
2478,13,26771
1979,13,11743
1225,13,15048
12685,21,8717
3160,21,14552
1845,21,21773
1614,21,11557
1121,21,21689
1040,21,26816
2312,24,31155
1971,24,21689
1558,24,8717
702,24,21773
572,24,15048
395,24,3461
366,24,11557
267,24,19733
174,24,15067
150,24,22743
148,24,3389
121,24,3371
117,24,3392
114,24,14552
101,24,4522
94,24,19742
93,24,5207
88,24,31186
85,24,1691
78,24,12680
77,24,4949
67,24,4605
58,24,31190
54,24,9221
50,24,17213
48,24,18045
603,25,15048
540,25,21773
354,25,19733
154,25,10891
144,25,21689
138,25,4605
115,25,22743
107,25,19742
94,25,31155
91,25,8717
86,25,3389
81,25,12680
73,25,2271
67,25,15067
66,25,3392
64,25,31186
58,25,7725
56,25,3611
51,25,18045
51,25,31656
49,25,9221
48,25,3371
45,25,14552
43,25,4949
42,25,5858
37,25,10197
35,25,4615
32,25,27669
31,25,8683
29,25,11743
29,25,22753
28,25,1642
27,25,10210
26,25,28009
25,25,31528
24,25,1416
24,25,31190
22,25,19738
22,25,15060
22,25,32865
21,25,18130
21,25,4521
20,25,3379
20,25,26816
20,25,28601
19,25,20849
19,25,10644
19,25,12940
19,25,31526
19,25,8738
19,25,2497
18,25,11557
18,25,10641
18,25,18318
18,25,12388
18,25,31099
18,25,9306
17,25,8055
17,25,3377
17,25,31162
1536,26,31155
1104,26,21689
709,26,8717
390,26,21773
362,26,15048
190,26,19733
1827,27,31155
1120,27,21689
838,27,8717
362,27,21773
329,27,15048
180,27,19733
2191,28,31155
2006,28,21689
1916,28,8717
653,28,21773
509,28,15048
306,28,19733
867,29,8717
410,29,21689
170,29,15048
167,29,21773
151,29,14552
122,29,17591
322,30,11743
108,30,7404
105,30,11305
99,30,27199
96,30,26785
92,30,1691
71,30,10731
50,30,33114
50,30,15979
45,30,14361
44,30,7457
42,30,11370
39,30,18886
39,30,2104
38,30,18566
36,30,10729
34,30,26897
32,30,20849
31,30,9221
28,30,26771
26,30,11505
26,30,7423
26,30,26837
23,30,22743
23,30,11376
22,30,8717
22,30,18045
21,30,11497
21,30,20824
18,30,6828
17,30,21989
17,30,26842
17,30,1642
17,30,16674
16,30,11557
16,30,19959
15,30,5090
15,30,1659
15,30,21024
13690,33,11305
11180,33,8717
8090,33,11557
3904,33,7457
3758,33,11743
1349,33,22743
31618,34,11305
7966,34,7457
7187,34,11743
2770,34,5207
1686,34,7404
1555,34,1691
1457,34,8717
1364,34,27199
1223,34,26785
1189,34,30909
1116,34,11590
1020,34,10731
974,34,14361
945,34,22753
943,34,11557
654,34,33114
638,34,18886
104,36,11305
45,36,30909
31,36,2938
28,36,21689
23,36,22743
16,36,8717
2212,50,8717
2121,50,33114
1587,50,11743
934,50,1691
890,50,11557
735,50,7457
642,50,29045
610,50,6953
524,50,25438
472,50,26735
451,50,6828
358,50,6857
339,50,19974
326,50,6888
289,50,6895
281,50,5207
280,50,17124
253,50,25114
231,50,22743
199,50,27199
184,50,6838
183,50,21457
165,50,7404
160,50,12315
160,50,26740
156,50,16799
154,50,6960
145,50,19983
143,50,17129
142,50,29452
136,50,6829
131,50,7852
128,50,14046
123,50,33165
111,50,6914
108,50,22034
108,50,6920
105,50,33012
102,50,16805
102,50,21466
100,50,25191
97,50,1542
91,50,22753
91,50,6847
85,50,33023
84,50,32477
82,50,3389
82,50,6178
82,50,12850
81,50,18045
81,50,6597
79,50,33124
78,50,25034
76,50,3371
76,50,8055
67,50,6976
67,50,7484
66,50,9221
66,50,26754
63,50,25436
57,50,20774
57,50,5090
57,50,12948
57,50,21195
56,50,8075
55,50,21447
49,50,1200
49,50,1173
48,50,21989
46,50,3392
46,50,32996
45,50,20785
45,50,10404
824,67,8717
682,67,14487
310,67,24609
212,67,11743
211,67,11557
187,67,4949
2886,93,7457
911,93,6953
858,93,11743
819,93,8717
754,93,6857
676,93,11557
573,93,7404
606,98,8717
208,98,23005
118,98,21773
87,98,3739
65,98,21689
60,98,25562
44,98,22743
35,98,5207
33,98,14134
27,98,11221
25,98,3735
1356,105,26837
1029,105,26771
439,105,11743
352,105,8717
317,105,10007
266,105,26894
227,105,22743
210,105,11305
151,105,9221
144,105,11557
119,105,26785
71,105,12479
67,105,26897
66,105,27199
65,105,7457
63,105,5207
56,105,28247
45,105,11370
44,105,18045
36,105,10013
35,105,26816
34,105,22753
33,105,26842
31,105,10210
28,105,3389
1080,106,11743
620,106,11305
607,106,26837
573,106,26894
465,106,22743
391,106,10007
362,106,11557
294,106,26785
242,106,9221
168,106,27199
155,106,7457
147,106,5207
141,106,26897
131,106,28247
108,106,12479
95,106,11370
94,106,18045
83,106,26842
80,106,26816
79,106,22753
73,106,3389
72,106,22034
58,106,7404
56,106,17213
56,106,28300
50,106,21989
50,106,25647
49,106,27403
46,106,28235
46,106,10729
45,106,3392
44,106,20849
44,106,5090
41,106,10210
41,106,26774
41,106,14278
40,106,10197
40,106,18367
40,106,10013
37,106,11376
37,106,10009
35,106,26838
34,106,20774
34,106,3371
32,106,10644
32,106,3358
32,106,11287
31,106,2277
31,106,923
31,106,22944
29,106,8717
28,106,1691
28,106,12940
28,106,23931
27,106,23694
26,106,26884
26,106,15301
25,106,23471
25,106,14280
23,106,1416
23,106,7308
22,106,10094
22,106,31557
22,106,6122
2762,112,26837
2136,112,26771
887,112,11743
484,112,26894
478,112,11305
380,112,22743
373,112,10007
349,112,11557
248,112,26785
208,112,9221
128,112,26897
113,112,28247
111,112,5207
110,112,7457
98,112,27199
95,112,12479
79,112,11370
79,112,18045
73,112,26842
73,112,26816
67,112,22753
66,112,8717
61,112,3389
1535,117,26837
1151,117,26771
501,117,11743
469,117,8717
331,117,10007
294,117,26894
89,119,11305
73,119,8717
66,119,2938
47,119,30909
34,119,21689
22,119,2982
1345,122,8717
1102,122,11743
843,122,11557
465,122,14487
271,122,1746
213,122,4949
536,231,11743
347,231,8717
130,231,11557
58,231,22743
54,231,5207
51,231,8067
271,249,11743
226,249,7457
118,249,11557
68,249,22743
68,249,22753
53,249,7404
53,249,31505
50,249,18326
47,249,2313
46,249,5207
42,249,18367
41,249,17213
38,249,10817
38,249,20299
36,249,20849
34,249,22034
34,249,2277
33,249,18045
33,249,10197
32,249,9477
31,249,1659
30,249,7478
29,249,18292
27,249,11590
27,249,261
26,249,19733
25,249,254
25,249,20294
24,249,26138
24,249,21689
24,249,10835
23,249,12948
23,249,923
23,249,7423
23,249,240
23,249,248
23,249,20731
23,249,30976
21,249,21989
21,249,8055
21,249,30463
20,249,8717
20,249,9221
19,249,10210
19,249,9484
19,249,30635
18,249,10932
18,249,3611
18,249,5051
18,249,2098
17,249,2294
17,249,12869
17,249,3885
16,249,21111
16,249,20291
15,249,10644
15,249,5090
15,249,1416
15,249,8346
14,249,2335
14,249,19524
14,249,9638
14,249,14752
14,249,23026
14,249,28805
14,249,14267
13,249,20774
13,249,27556
13,249,14764
13,249,2271
13,249,20279
13,249,11834
13,249,28740
13,249,3069
12,249,9886
12,249,25506
12,249,11978
12,249,22376
12,249,31557
12,249,6122
12,249,23349
12,249,18606
12,249,210
12,249,3886
11,249,2104
11,249,30672
11,249,29316
11,249,21374
11,249,8344
