book_number,book_name,cover,authors,press,publish_year,price,score,tags
1703933,菲钦油画肖像选,https://img9.doubanio.com/view/subject/s/public/s8820476.jpg,:全山石,山东美术出版社,2005-10,50.00, ,菲钦|油画|艺术|绘画|画册|图鉴与画册|肖像|美术
1179646,黄昏后的契机,https://img3.doubanio.com/view/subject/s/public/s1130693.jpg,:(英国)凯文·奥顿奈尔著、王萍丽译,北京大学出版社,2004-7-1,25.00, ,哲学|后现代|后现代主义|文化|社会|概述|西学|英国
1703932,荷兰建筑名家细部设计,https://img9.doubanio.com/view/subject/s/public/s10431144.jpg,:艾德·米利特,福建科学技术出版社,2005-8,168.00, ,建筑|细部|荷兰|陈镌|建筑技术|设计|材料与建构|材料.过程.结构
3276795,7-11之恋,https://img9.doubanio.com/view/subject/s/public/s3336935.jpg,蔡智恒,万卷出版公司,2008-10,22.00, ,蔡智恒|痞子蔡|小说|台湾|爱情|7-11之恋|青春文学|青春
2228210,特殊传说10 水之妖精族,https://img3.doubanio.com/view/subject/s/public/s2720172.jpg,护玄,威向,2007-09-12,, ,护玄|特殊傳說|轻小说|小说|奇幻|台湾|玄幻|護玄
2228209,水晶灯 今岁东风晚,https://img9.doubanio.com/view/subject/s/public/s2671265.jpg,:沐雨聆音,威向,2007/09/12,, ,耽美|沐雨聆音|腐物♪|耽美小说|小说|bl小说(阿耀)|过眼录|腐~飘过
4718577,伯爵と妖精 月なき夜は鏡の国でつかまえて,https://img9.doubanio.com/view/subject/s/public/s4230535.jpg,:谷瑞恵(著)|高星麻子(イラスト),集英社,2009/7/31,560, ,轻小说|伯爵と妖精|谷瑞穗|日本|乙女向|谷瑞恵|高星麻子|青春
1048570,1937年的爱情,https://img3.doubanio.com/view/subject/s/public/s22695821.jpg,叶兆言,时代文艺出版社,2002-05,16.80, ,叶兆言|小说|南京|中国当代文学|爱情|1937年的爱情|中国文学|中国
2228211,凤于九天15 爱恨烽烟,https://img1.doubanio.com/view/subject/s/public/s2671268.jpg,风弄,威向,2007-09-05,, ,耽美|风弄|凤于九天|小说|BL|穿越|耽美小说|古风
4194296,艾丽斯与罗妮的秘密,https://img1.doubanio.com/view/subject/s/public/s4138639.jpg,:[美]劳拉·李普曼|LauraLippman,新星出版社,2010年1月,26.00, ,劳拉·李普曼|悬疑|美国|推理|外国文学|小说|新星出版社|0.悬疑
1441780,游戏之旅,https://img9.doubanio.com/view/subject/s/public/s24444264.jpg,云风,电子工业出版社,2005-12-01,46.00, ,游戏开发|编程|游戏|程序人生|计算机|云风|编程素养|Programming
1048562,好小子,https://img9.doubanio.com/view/subject/s/public/s1347114.jpg,[挪威]罗尔德·达尔,明天出版社,2004-4-1,12.50, ,儿童文学|罗尔德·达尔|英国|童话|罗尔德.达尔|任溶溶|RoaldDahl|童书
2359281,馬拉美詩選,https://img9.doubanio.com/view/subject/s/public/s2825385.jpg,:馬拉美,桂冠圖書,1995-02-01,, ,诗歌|马拉美|法国文学|象征主义|法国|诗|Stéphane_Mallarmé|M莫渝
1048563,勃朗宁诗选,https://img9.doubanio.com/view/subject/s/public/s1036055.jpg,:[英]罗伯特·勃朗宁,海天出版社,1999-9,26.00, ,诗歌|英国文学|英国|勃朗宁诗集|勃朗宁|罗伯特·勃朗宁|外国文学|飞白
2228200,你是我的幸福吗,https://img9.doubanio.com/view/subject/s/public/s2671255.jpg,林紫绪,心手两忘,,, ,耽美|林紫绪|bl|耽美小说|小说|我爱宁静路系列|BL小说|闲书
2228203,温柔之剑,https://img1.doubanio.com/view/subject/s/public/s2671259.jpg,狐狸,威向,2007-09-20,NT 180, ,耽美|fox^^|耽美小说|小说|BL|Fox|都市|狐狸
1048540,形形色色的曲线--中学生文库数学趣味辑,https://img1.doubanio.com/view/subject/s/public/s3641457.jpg,:蒋声,上海教育出版社,1998-01,6.70, ,数学|科普|未电|几何|2010|戹
1048543,交叉询问的艺术,https://img9.doubanio.com/view/subject/s/public/s1659906.jpg,:[美]弗兰西斯·威尔曼,红旗出版社,2000,18.00, ,法律|交叉询问|交叉询问的艺术|法学|提问|实务|法务|质询
1834959,爱在西元年,https://img1.doubanio.com/view/subject/s/public/s3225077.jpg,彭柳蓉,知识出版社,2006-05,20.0, ,爱在西元年|彭柳蓉|小说|穿越|玄幻|言情|穿越-朝代|电子书
1048552,天遇,https://img9.doubanio.com/view/subject/s/public/s2020416.jpg,:[罗]弗洛林·迪亚库|[美]菲利普·霍尔姆斯,上海科技教育出版社,2001-12,19.00, ,科普|混沌|数学|物理|科学|普林斯顿科学文库|系统科学|物理学
1048553,被钉十字架的上帝,https://img1.doubanio.com/view/subject/s/public/s1274858.jpg,:莫尔特曼,三联书店上海分店,1997-01,21.40, ,神学|宗教|基督教|莫尔特曼|哲学|思想|被钉十字架的上帝|神学/宗教
1834971,女总裁告诉你,https://img3.doubanio.com/view/subject/s/public/s4284922.jpg,:[美]艾米·亨利(AmyHenry),新华出版社,2006-8,22.80, ,职场|女性|励志|管理|女性成长|女总裁告诉你|女性成长书|成长
1048539,富爸爸年轻退休,https://img3.doubanio.com/view/subject/s/public/s1220131.jpg,莎伦·L·莱希特|[美]罗伯特·T·清崎,电子工业出版社,2003-4,28.00, ,理财|富爸爸|投资|投资理财|富爸爸，穷爸爸|财务自由|财商|经济
1966048,Second Variety,https://img3.doubanio.com/view/subject/s/public/s1994140.jpg,:PhilipKDick,Gollancz,1999,GBP 9.99, ,科幻|PKD|SF|战争|小说|外国文学|:虚构:科幻|-2007年读完
3014617,比安基动物小说,https://img9.doubanio.com/view/subject/s/public/s2972585.jpg,:[俄]比安基,人民文学出版社,2008,16.00, ,比安基|儿童文学|动物小说|俄罗斯|苏联文学|苏联|生态文学|文学
1048535,崇祯传,https://img9.doubanio.com/view/subject/s/public/s1716506.jpg,樊树志,人民出版社,1997-11,30.10, ,明史|历史|崇祯|传记|樊树志|明朝|人物传记|中国历代帝王传记丛书
2359268,2009年中国自助游（全新升级）,https://img9.doubanio.com/view/subject/s/public/s3476394.jpg,:《中国自助游》编辑部,陕西师范大学出版社,2009-1-1,36.00, ,旅行|旅游|2008中国自助游|自助|自助手册|手册|自助游|文化
2359261,数论与密码学教程,https://img3.doubanio.com/view/subject/s/public/s5872490.jpg,:科布科茨,世界图书出版公司,2008-1,35.00, ,数论|数学|密码学|技术|GTM|英语|程序|毛毛的书
3145696,教育心理学,https://img3.doubanio.com/view/subject/s/public/s26009593.jpg,:伍尔福克(AnitaWoolfolk),中国轻工业出版社,2012-3-1,68.00, ,心理学|教育心理学|教育|心理学参考教材|教学|心理|儿童教育|人。律
3407846,帝国春秋,https://img3.doubanio.com/view/subject/s/public/s3530801.jpg,:林国基（主编）,世纪文景 上海人民出版社,2009-01,28.00, ,政治哲学|林国基|海国图志|历史|政治学|帝国|哲学|文化
3538906,冷靜的暗房,https://img3.doubanio.com/view/subject/s/public/s3598530.jpg,:李昱宏,書林,2008-12-8,NT250, ,摄影|李昱宏|攝影|视觉文化|开卷八分钟|梁文道|摄影、美术|視覺文化
3932133,两列小火车,https://img3.doubanio.com/view/subject/s/public/s3943432.jpg,:玛格丽特·怀斯·布朗|利奥·黛安娜·狄龙,河北教育出版社,2009-7,29.80, ,绘本|美国|玛格丽特·怀兹·布朗|童书|2-3岁|繪本|启发|儿童书
1703876,猫耳朵音乐绘本2幸福的缘光孙燕姿历年畅销金曲演奏辑(CD),https://img3.doubanio.com/view/subject/s/public/s1957512.jpg,:,,1900-01-01,22.0, ,音乐|Stephenie|青春|猫耳朵|成长
1441747,大学的使命,https://img1.doubanio.com/view/subject/s/public/s26012767.jpg,:奥尔特加·加塞特(OrtegaY.Gasset),浙江教育出版社,2001,7.00, ,教育|高等教育|教育学|大学|加塞特|高等教育学阅读|社会学|汉译世界高等教育名著丛书
1179603,品牌22律,https://img1.doubanio.com/view/subject/s/public/s1305019.jpg,:阿尔・里斯|劳拉・里斯|储文胜|周安柱|梅清豪,上海人民出版社,2004-7-1,28.0, ,品牌|营销|商业|品牌管理|管理|战略|经管|传播
1310673,遥远的野玫瑰村,https://img3.doubanio.com/view/subject/s/public/s2202892.jpg,:安房直子,少年儿童出版社,2004-03,17, ,安房直子|童话|日本|儿童文学|日本文学|遥远的野玫瑰村|温馨|童书
1048531,笛声何处,https://img3.doubanio.com/view/subject/s/public/s1914983.jpg,余秋雨,古吴轩出版社,2004-06,22.00, ,余秋雨|昆曲|散文|笛声何处|戏曲|文化|中国文学|戏剧
1703880,天兆 signs(VCD),https://img9.doubanio.com/view/subject/s/public/s1954316.jpg,:,,1900-01-01,36.0, ,科幻|天兆|影碟|奇幻|外星人|信仰|电影|读过的兆
1048524,尼采传,https://img1.doubanio.com/view/subject/s/public/s1036017.jpg,:丹尼尔・哈列维[法],贵州人民出版社,2004-06,29.80, ,尼采|传记|哲学|人物传记|尼采传|德国|思想|人物
2097094,唐人小说与政治,https://img3.doubanio.com/view/subject/s/public/s2732461.jpg,:卞孝萱,鹭江出版社,2003-01-01,28.0, ,卞孝萱|小说|古典文学|历史|学术|隋唐|文学与政治的勾连|隋唐史
1048526,三遂平妖传,https://img3.doubanio.com/view/subject/s/public/s1036021.jpg,:（明）罗贯中，冯梦龙补改，刘紫梅点校,中华书局,2004-11,15.00, ,罗贯中|古典文学|小说|神怪|冯梦龙|中国古代文学|魔幻|中国
3014596,潮爆中國 CHIC CHINA CHIC,https://img3.doubanio.com/view/subject/s/public/s29825070.jpg,:李照興,天窗,03/2008,HK$98, ,香港|李照興|城市文化|潮爆中国|中國|文化|城市研究|城市
3014606,洪水之后,https://img1.doubanio.com/view/subject/s/public/s3004847.jpg,:[捷克]埃娃・康图尔科娃,人民文学出版社,2008-3,18.00, ,小说|外国文学|捷克|东欧|女性|洪水之后|埃娃・康图尔科娃|心理
1048529,论老年 论友谊 论责任,https://img3.doubanio.com/view/subject/s/public/s3035093.jpg,[古罗马]西塞罗,商务印书馆,2003-12,18.00, ,哲学|西塞罗|古罗马|人生|汉译世界学术名著丛书|老年|友谊|西方哲学
